text,label
şok gerçek ortaya çıktı,1
acil paylaş,1
gizli bilgi,1
resmi açıklama,0
bilimsel araştırma,0
rapor yayınlandı,0
şok gerçek ortaya çıktı,1
acil paylaş,1
gizli bilgi,1
resmi açıklama,0
bilimsel araştırma,0
rapor yayınlandı,0
şok gerçek ortaya çıktı,1
acil paylaş,1
gizli bilgi,1
resmi açıklama,0
bilimsel araştırma,0
rapor yayınlandı,0
şok gerçek ortaya çıktı,1
acil paylaş,1
gizli bilgi,1
resmi açıklama,0
bilimsel araştırma,0
rapor yayınlandı,0
şok gerçek ortaya çıktı,1
acil paylaş,1
gizli bilgi,1
resmi açıklama,0
bilimsel araştırma,0
rapor yayınlandı,0
şok gerçek ortaya çıktı,1
acil paylaş,1
gizli bilgi,1
resmi açıklama,0
bilimsel araştırma,0
rapor yayınlandı,0
şok gerçek ortaya çıktı,1
acil paylaş,1
gizli bilgi,1
resmi açıklama,0
bilimsel araştırma,0
rapor yayınlandı,0
şok gerçek ortaya çıktı,1
acil paylaş,1
gizli bilgi,1
resmi açıklama,0
bilimsel araştırma,0
rapor yayınlandı,0
şok gerçek ortaya çıktı,1
acil paylaş,1
gizli bilgi,1
resmi açıklama,0
bilimsel araştırma,0
rapor yayınlandı,0
şok gerçek ortaya çıktı,1
acil paylaş,1
gizli bilgi,1
resmi açıklama,0
bilimsel araştırma,0
rapor yayınlandı,0
şok gerçek ortaya çıktı,1
acil paylaş,1
gizli bilgi,1
resmi açıklama,0
bilimsel araştırma,0
rapor yayınlandı,0
şok gerçek ortaya çıktı,1
acil paylaş,1
gizli bilgi,1
resmi açıklama,0
bilimsel araştırma,0
rapor yayınlandı,0
şok gerçek ortaya çıktı,1
acil paylaş,1
gizli bilgi,1
resmi açıklama,0
bilimsel araştırma,0
rapor yayınlandı,0
şok gerçek ortaya çıktı,1
acil paylaş,1
gizli bilgi,1
resmi açıklama,0
bilimsel araştırma,0
rapor yayınlandı,0
şok gerçek ortaya çıktı,1
acil paylaş,1
gizli bilgi,1
resmi açıklama,0
bilimsel araştırma,0
rapor yayınlandı,0
şok gerçek ortaya çıktı,1
